potential_target,potential_target_type,file,line,matched_mapping_key,matched_mapping_value,replaced
"      icon.append("" light"");","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/profile/NotificationChannelDto.java","76","","",""
"    subscription.setIcon(icon.toString());","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/profile/NotificationChannelDto.java","80","","",""
"  private String icon;","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/profile/NotificationChannelSubscriptionDto.java","9","","",""
"    return icon;","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/profile/NotificationChannelSubscriptionDto.java","38","","",""
"  public void setIcon(String icon) {","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/profile/NotificationChannelSubscriptionDto.java","41","","",""
"    this.icon = icon;","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/profile/NotificationChannelSubscriptionDto.java","42","","",""
"      return ""si si-single-neutral-circle"";","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/user/UserComponentModel.java","33","","",""
"    var webNewTaskIcon = $(By.className(""subscription-icon""));","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestProfileIT.java","94","","",""
"      case 0 -> checkbox.shouldNotHave(cssClass(""ui-icon""));","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestProfileIT.java","159","","",""
"      case 1 -> checkbox.shouldHave(cssClass(""ui-icon-check""));","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestProfileIT.java","160","","",""
"      case 2 -> checkbox.shouldHave(cssClass(""ui-icon-closethick""));","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestProfileIT.java","161","","",""
"  private void iconShouldHaveSubscribedState(SelenideElement icon, boolean subscribed) {","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestProfileIT.java","166","","",""
"      icon.shouldHave(cssClass(""si-check-circle-1""));","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestProfileIT.java","168","","",""
"      icon.shouldHave(cssClass(""si-remove-circle""));","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestProfileIT.java","170","","",""
"  private void iconShouldHaveByDefaultState(SelenideElement icon, boolean byDefault) {","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestProfileIT.java","174","","",""
"      icon.shouldHave(cssClass(""light""));","Java","dev-workflow-ui-web-test/src_test/ch/ivyteam/ivy/project/workflow/webtest/WebTestProfileIT.java","176","","",""
